[('Ballena', 'Balaenoptera musculus'), [1, 1, 'c', 62.38], 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Balaenoptera_musculus_%28blue_whale%29.jpg/1280px-Balaenoptera_musculus_%28blue_whale%29.jpg']
[('Loro', 'Psittaciformes'), [5, 1, 'o', 19.88], 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Amazon_parrot_cropped.jpg/1280px-Amazon_parrot_cropped.jpg']
[('Araña', 'Araneae'), [5, 1, 'c', 71.88], 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Jumping_spider.jpg/1280px-Jumping_spider.jpg']
[('Camello', 'Camelus dromedarius'), [1, 1, 'h', 94.91], 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Dromedary_camel_in_Oman.jpg/1280px-Dromedary_camel_in_Oman.jpg']
[('Lechuza', 'Tyto alba'), [2, 1, 'c', 49.1], 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Tyto_alba_owl.jpg/1280px-Tyto_alba_owl.jpg']
[('Caballo', 'Equus ferus caballus'), [4, 1, 'h', 84.96], 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Horse_head_with_white_blaze.jpg/1280px-Horse_head_with_white_blaze.jpg']
[('Orca', 'Orcinus orca'), [5, 1, 'c', 58.77], 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Killer_Whale_NOAA.jpg/1280px-Killer_Whale_NOAA.jpg']
[('Gato', 'Felis catus'), [5, 1, 'c', 60.35], 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Cat_November_2010-1.jpg/1280px-Cat_November_2010-1.jpg']
[('Burro', 'Equus asinus'), [5, 1, 'h', 91.15], 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Donkey_in_Greece.jpg/1280px-Donkey_in_Greece.jpg']
[('Ratón', 'Mus musculus'), [4, 1, 'o', 52.18], 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/House_Mouse_Mus_musculus.jpg/1280px-House_Mouse_Mus_musculus.jpg']
[('Víbora', 'Vipera berus'), [5, 1, 'c', 45.32], 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Vipera_berus_2.jpg/1280px-Vipera_berus_2.jpg']
[('Pinguino', 'Spheniscidae'), [4, 1, 'c', 79.54], 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Emperor_Penguin_in_Antarctica_%2846145408531%29.jpg/800px-Emperor_Penguin_in_Antarctica_%2846145408531%29.jpg']
[('Oveja', 'Ovis aries'), [5, 1, 'h', 89.45], 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Domestic_sheep.jpg/1280px-Domestic_sheep.jpg']
[('Lagartija', 'Podarcis muralis'), [4, 1, 'c', 34.86], 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Podarcis_muralis_001.jpg/1280px-Podarcis_muralis_001.jpg']
[('Llama', 'Lama glama'), [4, 1, 'h', 86.41], 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Llama_in_the_Andes.jpg/1280px-Llama_in_the_Andes.jpg']
[('Tigre', 'Panthera tigris'), [1, 1, 'c', 72.42], 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Bengal_tiger_face.jpg/1280px-Bengal_tiger_face.jpg']
[('Jaguar', 'Desconocido'), [1, 1, 'o', 43.35], '']
[('Gallina', 'Desconocido'), [5, 1, 'o', 74.4], '']
[('Gallo', 'Desconocido'), [4, 1, 'o', 17.28], '']
[('Escarabajo', 'Desconocido'), [5, 1, 'o', 73.73], '']
