[('Flamenco', 'Phoenicopterus roseus'), [5, 1, 'h', 96.0], 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Flamingo_in_flight.jpg/1280px-Flamingo_in_flight.jpg']
[('Caracol', 'Helix aspersa'), [1, 1, 'h', 84.41], 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Helix_aspersa_muller.jpg/1280px-Helix_aspersa_muller.jpg']
[('Búho', 'Strigiformes'), [3, 1, 'c', 68.04], 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Great_Horned_Owl_002.jpg/1280px-Great_Horned_Owl_002.jpg']
[('Ostra', 'Ostrea edulis'), [4, 1, 'h', 84.19], 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Ostrea_edulis_001.jpg/1280px-Ostrea_edulis_001.jpg']
[('Oso', 'Ursidae'), [4, 1, 'o', 45.12], 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Grizzly_bear_2.jpg/1280px-Grizzly_bear_2.jpg']
[('Colibrí', 'Trochilidae'), [2, 1, 'o', 76.28], 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Ruby-throated_Hummingbird_%28Archilochus_colubris%29_male.jpg/1280px-Ruby-throated_Hummingbird_%28Archilochus_colubris%29_male.jpg']
[('Escarabajo', 'Coleoptera'), [1, 1, 'o', 52.85], 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Coleoptera_%28beetles%29.jpg/1280px-Coleoptera_%28beetles%29.jpg']
[('Cotorra', 'Psittacula krameri'), [5, 1, 'o', 29.45], 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Rose-ringed_Parakeet_Psittacula_krameri.jpg/1280px-Rose-ringed_Parakeet_Psittacula_krameri.jpg']
[('Caballo', 'Equus ferus caballus'), [4, 1, 'h', 89.65], 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Horse_head.jpg/1280px-Horse_head.jpg']
[('Ganso', 'Anser anser'), [2, 1, 'h', 83.21], 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Greylag_Goose_%28Anser_anser%29.jpg/1280px-Greylag_Goose_%28Anser_anser%29.jpg']
[('Faisán', 'Phasianus colchicus'), [4, 1, 'o', 60.53], 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Common_Pheasant_%28Phasianus_colchicus%29_male.jpg/1280px-Common_Pheasant_%28Phasianus_colchicus%29_male.jpg']
[('Grillo', 'Gryllidae'), [2, 1, 'o', 4.55], 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Gryllus_bimaculatus_male.jpg/1280px-Gryllus_bimaculatus_male.jpg']
[('Cocodrilo', 'Crocodylia'), [2, 1, 'c', 58.34], 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/American_alligator_face.jpg/1280px-American_alligator_face.jpg']
[('Estrella de mar', 'Asteroidea'), [4, 1, 'c', 28.12], 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Starfish_on_rock.jpg/1280px-Starfish_on_rock.jpg']
[('Lombriz', 'Lumbricus terrestris'), [5, 1, 'o', 69.77], 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Earthworm_Lumbricus_terrestris.jpg/1280px-Earthworm_Lumbricus_terrestris.jpg']
[('Lechuza', 'Desconocido'), [3, 1, 'o', 12.82], '']
[('Mirlo', 'Turdus merula'), [1, 1, 'o', 54.91], 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Common_Blackbird_male_001.jpg/1280px-Common_Blackbird_male_001.jpg']
[('Ardilla', 'Desconocido'), [3, 5, 'o', 69.94], '']
[('Puma', 'Desconocido'), [3, 1, 'o', 4.8], '']
[('Trucha', 'Desconocido'), [3, 5, 'o', 53.34], '']
